"gene_type" "gene_name"
"2624217" "IG_V_gene" "IGLV3-21"
"2624227" "IG_V_pseudogene" "IGLVI-20"
"2624230" "IG_V_gene" "IGLV3-19"
"2624238" "IG_V_gene" "IGLV2-18"
"2624246" "IG_V_pseudogene" "IGLV3-17"
"2624249" "IG_V_gene" "IGLV3-16"
"2624257" "IG_V_pseudogene" "IGLV3-15"
"2624260" "IG_V_gene" "IGLV2-14"
"2624268" "IG_V_pseudogene" "IGLV3-13"
"2624271" "IG_V_gene" "IGLV3-12"
"2624279" "IG_V_gene" "IGLV2-11"
"2624287" "IG_V_gene" "IGLV3-10"
"2624295" "IG_V_gene" "IGLV3-9"
"2624303" "IG_V_gene" "IGLV2-8"
"2624311" "IG_V_pseudogene" "IGLV3-7"
"2624314" "IG_V_pseudogene" "IGLV3-6"
"2624317" "IG_V_pseudogene" "IGLV2-5"
"2624320" "IG_V_pseudogene" "IGLV3-4"
"2624323" "IG_V_gene" "IGLV4-3"
"2624333" "IG_V_pseudogene" "IGLV3-2"
"2624336" "IG_V_gene" "IGLV3-1"
"2624344" "IG_J_gene" "IGLJ1"
"2624348" "IG_C_gene" "IGLC1"
"2624354" "IG_J_gene" "IGLJ2"
"2624360" "IG_C_gene" "IGLC2"
"2624366" "IG_J_gene" "IGLJ3"
"2624372" "IG_C_gene" "IGLC3"
"2624378" "IG_J_gene" "IGLJ4"
"2624382" "IG_C_pseudogene" "IGLC4"
"2624385" "IG_J_gene" "IGLJ5"
"2624389" "IG_C_pseudogene" "IGLC5"
"2624392" "IG_J_gene" "IGLJ6"
"2624396" "IG_C_pseudogene" "IGLC6"
"2624399" "IG_J_gene" "IGLJ7"
"2624403" "IG_C_gene" "IGLC7"
"2624409" "protein_coding" "RSPH14"
"2624467" "protein_coding" "GNAZ"
"2624485" "protein_coding" "RAB36"
"2624548" "protein_coding" "BCR"
"2624725" "lncRNA" "LINC02556"
"2624729" "lncRNA" "LINC01659"
"2624737" "lncRNA" "FAM230I"
"2624751" "lncRNA" "AP000345.3"
"2624755" "lncRNA" "LINC02557"
"2624759" "lncRNA" "PCAT14"
"2624770" "lncRNA" "AP000345.1"
"2624782" "protein_coding" "IGLL1"
"2624812" "lncRNA" "AP000345.2"
"2624817" "protein_coding" "DRICH1"
"2624871" "protein_coding" "RGL4"
"2625083" "protein_coding" "ZNF70"
"2625093" "protein_coding" "VPREB3"
"2625112" "protein_coding" "C22orf15"
"2625171" "protein_coding" "CHCHD10"
"2625225" "protein_coding" "MMP11"
"2625332" "protein_coding" "SMARCB1"
"2625576" "protein_coding" "DERL3"
"2625673" "lncRNA" "AP000350.5"
"2625676" "protein_coding" "SLC2A11"
"2625996" "lncRNA" "AP000350.7"
"2625999" "protein_coding" "MIF"
"2626017" "lncRNA" "MIF-AS1"
"2626022" "lncRNA" "AP000350.6"
"2626025" "protein_coding" "GSTT2B"
"2626056" "protein_coding" "DDTL"
"2626068" "lncRNA" "AC253536.6"
"2626071" "protein_coding" "DDT"
"2626128" "protein_coding" "GSTT4"
"2626175" "protein_coding" "CABIN1"
"2626577" "lncRNA" "AC253536.3"
"2626582" "protein_coding" "SUSD2"
"2626630" "protein_coding" "GGT5"
"2626740" "protein_coding" "SPECC1L"
"2626930" "protein_coding" "ADORA2A"
"2627051" "lncRNA" "ADORA2A-AS1"
"2627082" "protein_coding" "UPB1"
"2627153" "lncRNA" "AP000355.1"
"2627157" "protein_coding" "GUCD1"
"2627304" "protein_coding" "SNRPD3"
"2627336" "protein_coding" "GGT1"
"2627474" "protein_coding" "LRRC75B"
"2627984" "lncRNA" "AP000356.1"
"2627988" "lncRNA" "AP000356.2"
"2627994" "lncRNA" "AP000357.2"
"2627998" "protein_coding" "PIWIL3"
"2628211" "protein_coding" "SGSM1"
"2628431" "protein_coding" "TMEM211"
"2628468" "protein_coding" "KIAA1671"
"2628581" "lncRNA" "AL022323.3"
"2628584" "lncRNA" "AL022323.5"
"2628587" "lncRNA" "AL022323.2"
"2628590" "lncRNA" "AL022323.4"
"2628593" "lncRNA" "AL022323.1"
"2628600" "protein_coding" "CRYBB3"
"2628633" "lncRNA" "Z99916.1"
"2628641" "protein_coding" "CRYBB2"
"2628676" "lncRNA" "Z99916.3"
"2628679" "lncRNA" "AL022332.1"
"2628687" "protein_coding" "LRP5L"
"2628767" "lncRNA" "AL022324.3"
"2628770" "lncRNA" "AL008721.1"
"2628773" "IG_V_pseudogene" "IGLVIVOR22-1"
"2628777" "lncRNA" "AL008721.2"
"2628780" "lncRNA" "AL022329.1"
"2628800" "protein_coding" "GRK3"
"2628920" "lncRNA" "AL022329.2"
"2628924" "protein_coding" "MYO18B"
"2629365" "lncRNA" "AL022329.3"
"2629368" "lncRNA" "Z98949.1"
"2629486" "lncRNA" "Z98949.3"
"2629490" "lncRNA" "LINC02559"
"2629494" "lncRNA" "AL022337.1"
"2629514" "protein_coding" "SEZ6L"
"2629815" "lncRNA" "AL080273.1"
"2629822" "protein_coding" "ASPHD2"
"2629836" "protein_coding" "HPS4"
"2630121" "protein_coding" "SRRD"
"2630149" "protein_coding" "TFIP11"
"2630413" "lncRNA" "Z95115.1"
"2630419" "protein_coding" "TPST2"
"2630531" "lncRNA" "Z95115.2"
"2630536" "protein_coding" "CRYBB1"
"2630558" "protein_coding" "CRYBA4"
"2630582" "lncRNA" "MIAT"
"2630707" "lncRNA" "Z99774.1"
"2630712" "lncRNA" "MIATNB"
"2630788" "lncRNA" "LINC01422"
"2630822" "lncRNA" "Z97353.2"
"2630831" "lncRNA" "AL008638.3"
"2630834" "lncRNA" "AL008638.5"
"2630837" "lncRNA" "AL008638.4"
"2630840" "lncRNA" "AL008638.2"
"2630848" "lncRNA" "AL008638.6"
"2630851" "lncRNA" "AL008638.1"
"2630855" "lncRNA" "AL021153.1"
"2630859" "lncRNA" "LINC01638"
"2630879" "lncRNA" "AL020994.3"
"2630884" "lncRNA" "AL020994.1"
"2630889" "lncRNA" "LINC02554"
"2630905" "lncRNA" "AL020994.2"
"2630922" "lncRNA" "AL049536.1"
"2630928" "lncRNA" "AL050402.2"
"2630933" "lncRNA" "AL050402.1"
"2630937" "lncRNA" "AL133456.1"
"2630942" "lncRNA" "AL121885.2"
"2630949" "lncRNA" "AL121885.3"
"2630953" "lncRNA" "AL121885.1"
"2630957" "protein_coding" "MN1"
"2630979" "protein_coding" "PITPNB"
"2631157" "lncRNA" "TTC28-AS1"
"2631336" "protein_coding" "TTC28"
"2631472" "protein_coding" "CHEK2"
"2632095" "protein_coding" "HSCB"
"2632193" "protein_coding" "CCDC117"
"2632270" "protein_coding" "XBP1"
"2632355" "lncRNA" "Z93930.2"
"2632372" "lncRNA" "Z93930.3"
"2632375" "protein_coding" "ZNRF3"
"2632442" "lncRNA" "ZNRF3-IT1"
"2632446" "lncRNA" "ZNRF3-AS1"
"2632451" "protein_coding" "C22orf31"
"2632463" "protein_coding" "KREMEN1"
"2632552" "lncRNA" "AL021393.1"
"2632556" "protein_coding" "EMID1"
"2632752" "protein_coding" "RHBDD3"
"2632825" "lncRNA" "AL031186.1"
"2632829" "protein_coding" "EWSR1"
"2633290" "protein_coding" "GAS2L1"
"2633412" "protein_coding" "RASL10A"
"2633440" "lncRNA" "AC002059.1"
"2633443" "protein_coding" "AP1B1"
"2633782" "lncRNA" "RFPL1S"
"2633815" "protein_coding" "RFPL1"
"2633825" "protein_coding" "NEFH"
"2633839" "lncRNA" "AC000035.1"
"2633843" "protein_coding" "THOC5"
"2634251" "lncRNA" "AC005529.1"
"2634255" "protein_coding" "NIPSNAP1"
"2634343" "protein_coding" "NF2"
"2634855" "lncRNA" "AC004882.1"
"2634863" "lncRNA" "AC004882.2"
"2634867" "protein_coding" "CABP7"
"2634883" "protein_coding" "ZMAT5"
"2634904" "lncRNA" "AC004882.3"
"2634909" "protein_coding" "UQCR10"
"2634928" "protein_coding" "ASCC2"
"2635256" "protein_coding" "MTMR3"
"2635515" "lncRNA" "AC003681.1"
"2635518" "lncRNA" "HORMAD2-AS1"
"2635533" "protein_coding" "HORMAD2"
"2635616" "lncRNA" "AC002378.1"
"2635621" "lncRNA" "LIF-AS1"
"2635626" "protein_coding" "LIF"
"2635647" "lncRNA" "AC004264.1"
"2635650" "protein_coding" "OSM"
"2635682" "protein_coding" "CASTOR1"
"2635838" "protein_coding" "TBC1D10A"
"2635988" "protein_coding" "SF3A1"
"2636083" "protein_coding" "CCDC157"
"2636192" "protein_coding" "RNF215"
"2636299" "protein_coding" "SEC14L2"
"2636539" "lncRNA" "AC004832.5"
"2636542" "lncRNA" "AC004832.4"
"2636545" "protein_coding" "MTFP1"
"2636610" "lncRNA" "AC004832.6"
"2636616" "protein_coding" "SEC14L3"
"2636818" "lncRNA" "AC004832.1"
"2636842" "protein_coding" "SEC14L4"
"2636962" "protein_coding" "SEC14L6"
"2637002" "protein_coding" "GAL3ST1"
"2637243" "protein_coding" "PES1"
"2637484" "lncRNA" "AC005006.1"
"2637489" "protein_coding" "TCN2"
"2637594" "protein_coding" "SLC35E4"
"2637624" "protein_coding" "DUSP18"
"2637714" "protein_coding" "OSBP2"
"2638100" "lncRNA" "MORC2-AS1"
"2638122" "protein_coding" "MORC2"
"2638274" "lncRNA" "TUG1"
"2638354" "lncRNA" "AC004542.2"
"2638358" "lncRNA" "AC004542.1"
"2638362" "lncRNA" "AC005005.4"
"2638365" "protein_coding" "SMTN"
"2638832" "lncRNA" "AC005005.3"
"2638835" "protein_coding" "SELENOM"
"2638923" "protein_coding" "INPP5J"
"2639204" "protein_coding" "PLA2G3"
"2639224" "protein_coding" "RNF185"
"2639318" "lncRNA" "RNF185-AS1"
"2639321" "protein_coding" "LIMK2"
"2639491" "protein_coding" "PIK3IP1"
"2639559" "lncRNA" "PIK3IP1-AS1"
"2639566" "protein_coding" "PATZ1"
"2639627" "lncRNA" "LINC01521"
"2639632" "protein_coding" "DRG1"
"2639710" "protein_coding" "EIF4ENIF1"
"2639964" "lncRNA" "AL096701.3"
"2639974" "protein_coding" "SFI1"
"2640589" "lncRNA" "AL096701.4"
"2640592" "protein_coding" "PISD"
"2640804" "protein_coding" "PRR14L"
"2640885" "protein_coding" "DEPDC5"
"2643868" "lncRNA" "C22orf24"
"2643893" "protein_coding" "YWHAH"
"2643939" "lncRNA" "AL008719.1"
"2643943" "lncRNA" "LINC02558"
"2643961" "protein_coding" "SLC5A1"
"2644041" "lncRNA" "Z83839.2"
"2644045" "protein_coding" "C22orf42"
"2644081" "lncRNA" "AL008723.1"
"2644085" "protein_coding" "RFPL2"
"2644155" "IG_C_pseudogene" "IGLCOR22-1"
"2644158" "lncRNA" "SLC5A4-AS1"
"2644171" "protein_coding" "SLC5A4"
"2644207" "lncRNA" "AL008723.2"
"2644210" "lncRNA" "AL021937.3"
"2644221" "protein_coding" "RFPL3"
"2644242" "IG_C_pseudogene" "IGLCOR22-2"
"2644245" "lncRNA" "RFPL3S"
"2644297" "IG_V_pseudogene" "IGLVIVOR22-2"
"2644301" "lncRNA" "AL021937.4"
"2644305" "protein_coding" "RTCB"
"2644360" "protein_coding" "BPIFC"
"2644476" "protein_coding" "FBXO7"
"2644613" "protein_coding" "SYN3"
"2644727" "lncRNA" "Z82246.1"
"2644731" "lncRNA" "Z73495.1"
"2644735" "protein_coding" "TIMP3"
"2644751" "lncRNA" "LINC01640"
"2644773" "lncRNA" "Z82198.1"
"2644777" "protein_coding" "LARGE1"
"2645007" "lncRNA" "Z82198.2"
"2645011" "lncRNA" "Z82173.1"
"2645015" "lncRNA" "LARGE-IT1"
"2645019" "lncRNA" "LARGE-AS1"
"2645101" "lncRNA" "Z73429.1"
"2645104" "lncRNA" "LINC01643"
"2645417" "lncRNA" "Z68323.1"
"2645428" "lncRNA" "AL021877.2"
"2645431" "lncRNA" "Z82196.1"
"2645436" "lncRNA" "Z82196.2"
"2645442" "lncRNA" "AL024495.1"
"2645452" "protein_coding" "ISX"
"2645481" "lncRNA" "Z99755.2"
"2645485" "protein_coding" "HMGXB4"
"2645582" "lncRNA" "AL008635.1"
"2645586" "protein_coding" "TOM1"
"2645959" "lncRNA" "Z82244.2"
"2645962" "lncRNA" "Z82244.1"
"2645965" "protein_coding" "HMOX1"
"2645999" "protein_coding" "MCM5"
"2646148" "lncRNA" "AL022334.2"
"2646151" "protein_coding" "RASD2"
"2646163" "protein_coding" "MB"
"2646276" "lncRNA" "AL049747.1"
"2646280" "protein_coding" "APOL6"
"2646292" "lncRNA" "AL049748.1"
"2646296" "protein_coding" "APOL5"
"2646311" "protein_coding" "RBFOX2"
"2646636" "lncRNA" "Z82217.1"
"2646639" "lncRNA" "Z95114.4"
"2646642" "lncRNA" "Z95114.1"
"2646645" "lncRNA" "Z95114.2"
"2646648" "protein_coding" "APOL3"
"2646853" "protein_coding" "APOL4"
"2647000" "protein_coding" "APOL2"
"2647091" "protein_coding" "APOL1"
"2647279" "protein_coding" "MYH9"
"2647429" "lncRNA" "Z82215.1"
"2647433" "lncRNA" "FO393418.1"
"2647437" "lncRNA" "AL022313.2"
"2647441" "protein_coding" "TXN2"
"2647498" "protein_coding" "FOXRED2"
"2647578" "protein_coding" "EIF3D"
"2647749" "lncRNA" "AL022313.3"
"2647753" "lncRNA" "AL022313.4"
"2647756" "protein_coding" "CACNG2"
"2647773" "lncRNA" "AL049749.1"
"2647777" "lncRNA" "Z80897.2"
"2647781" "protein_coding" "IFT27"
"2647905" "lncRNA" "Z80897.1"
"2647909" "protein_coding" "PVALB"
"2647979" "lncRNA" "Z82185.1"
"2647984" "lncRNA" "NCF4-AS1"
"2647991" "protein_coding" "NCF4"
"2648124" "protein_coding" "CSF2RB"
"2648241" "lncRNA" "Z82180.1"
"2648247" "protein_coding" "TEX33"
"2648312" "protein_coding" "TST"
"2648351" "protein_coding" "MPST"
"2648437" "lncRNA" "Z73420.1"
"2648441" "protein_coding" "KCTD17"
"2648557" "protein_coding" "TMPRSS6"
"2648771" "lncRNA" "AL022314.1"
"2648776" "protein_coding" "IL2RB"
"2648867" "lncRNA" "Z82188.2"
"2648871" "protein_coding" "C1QTNF6"
"2648935" "protein_coding" "SSTR3"
"2648954" "protein_coding" "RAC2"
"2649046" "protein_coding" "CYTH4"
"2649185" "lncRNA" "FP325335.1"
"2649194" "lncRNA" "Z94160.1"
"2649202" "protein_coding" "ELFN2"
"2649245" "lncRNA" "Z94160.2"
"2649249" "protein_coding" "MFNG"
"2649371" "protein_coding" "CARD10"
"2649576" "lncRNA" "AL022315.1"
"2649580" "protein_coding" "CDC42EP1"
"2649615" "protein_coding" "LGALS2"
"2649640" "protein_coding" "GGA1"
"2649996" "protein_coding" "SH3BP1"
"2650181" "lncRNA" "Z83844.2"
"2650189" "protein_coding" "PDXP"
"2650208" "protein_coding" "LGALS1"
"2650266" "protein_coding" "NOL12"
"2650345" "protein_coding" "TRIOBP"
"2650581" "protein_coding" "H1F0"
"2650589" "protein_coding" "GCAT"
"2650679" "protein_coding" "GALR3"
"2650689" "protein_coding" "ANKRD54"
"2650860" "protein_coding" "EIF3L"
"2651124" "lncRNA" "AL022311.1"
"2651127" "protein_coding" "MICALL1"
"2651226" "protein_coding" "C22orf23"
"2651327" "lncRNA" "AL031587.3"
"2651330" "protein_coding" "POLR2F"
"2651519" "protein_coding" "SOX10"
"2651581" "lncRNA" "AL031587.1"
"2651585" "lncRNA" "AL031587.4"
"2651588" "protein_coding" "PICK1"
"2651790" "lncRNA" "AL031587.2"
"2651794" "protein_coding" "SLC16A8"
"2651824" "protein_coding" "BAIAP2L2"
"2651904" "lncRNA" "AL022322.1"
"2651907" "protein_coding" "PLA2G6"
"2652626" "lncRNA" "AL022322.2"
"2652629" "protein_coding" "MAFF"
"2652701" "protein_coding" "TMEM184B"
"2652849" "lncRNA" "AL020993.1"
"2652853" "protein_coding" "CSNK1E"
"2653071" "lncRNA" "Z98749.1"
"2653075" "lncRNA" "Z97056.2"
"2653081" "lncRNA" "Z97056.1"
"2653086" "protein_coding" "KCNJ4"
"2653096" "lncRNA" "Z97056.3"
"2653101" "protein_coding" "KDELR3"
"2653136" "protein_coding" "DDX17"
"2653311" "protein_coding" "DMC1"
"2653443" "protein_coding" "FAM227A"
"2653626" "protein_coding" "CBY1"
"2653727" "lncRNA" "AL021707.4"
"2653731" "lncRNA" "AL021707.2"
"2653753" "lncRNA" "AL021707.9"
"2653757" "protein_coding" "TOMM22"
"2653775" "protein_coding" "JOSD1"
"2653844" "protein_coding" "GTPBP1"
"2653978" "lncRNA" "AL021707.5"
"2653982" "protein_coding" "SUN2"
"2654264" "lncRNA" "AL021707.3"
"2654269" "lncRNA" "AL021707.8"
"2654272" "lncRNA" "AL021707.1"
"2654276" "lncRNA" "AL021707.6"
"2654279" "lncRNA" "AL021707.7"
"2654282" "protein_coding" "DNAL4"
"2654313" "protein_coding" "NPTXR"
"2654342" "protein_coding" "CBX6"
"2654378" "lncRNA" "AL022318.5"
"2654382" "lncRNA" "AL022318.1"
"2654386" "protein_coding" "APOBEC3A"
"2654440" "protein_coding" "APOBEC3B"
"2654521" "lncRNA" "APOBEC3B-AS1"
"2654528" "protein_coding" "APOBEC3C"
"2654553" "protein_coding" "APOBEC3D"
"2654599" "protein_coding" "APOBEC3F"
"2654638" "protein_coding" "APOBEC3G"
"2654683" "protein_coding" "APOBEC3H"
"2654772" "protein_coding" "CBX7"
"2654830" "lncRNA" "AL031846.2"
"2654833" "protein_coding" "PDGFB"
"2654898" "lncRNA" "AL031590.1"
"2654910" "lncRNA" "AL022326.1"
"2654918" "protein_coding" "RPL3"
"2655074" "protein_coding" "SYNGR1"
"2655154" "protein_coding" "TAB1"
"2655228" "protein_coding" "MGAT3"
"2655253" "lncRNA" "MGAT3-AS1"
"2655257" "protein_coding" "MIEF1"
"2655392" "protein_coding" "AL022312.1"
"2655399" "protein_coding" "ATF4"
"2655433" "protein_coding" "RPS19BP1"
"2655476" "protein_coding" "CACNA1I"
"2655784" "protein_coding" "ENTHD1"
"2655807" "protein_coding" "GRAP2"
"2655873" "protein_coding" "Z82206.1"
"2655883" "protein_coding" "FAM83F"
"2655918" "lncRNA" "Z83847.1"
"2655921" "protein_coding" "TNRC6B"
"2656187" "protein_coding" "ADSL"
"2656573" "protein_coding" "SGSM3"
"2656744" "lncRNA" "AL022238.2"
"2656758" "protein_coding" "MRTFA"
"2657109" "lncRNA" "AL022238.3"
"2657112" "lncRNA" "MRTFA-AS1"
"2657118" "protein_coding" "MCHR1"
"2657145" "protein_coding" "SLC25A17"
"2657438" "protein_coding" "ST13"
"2657560" "protein_coding" "XPNPEP3"
"2657634" "protein_coding" "DNAJB7"
"2657642" "protein_coding" "RBX1"
"2657665" "protein_coding" "EP300"
"2657781" "lncRNA" "AL035658.1"
"2657786" "lncRNA" "EP300-AS1"
"2657791" "protein_coding" "L3MBTL2"
"2657968" "lncRNA" "AL035681.1"
"2657985" "protein_coding" "CHADL"
"2658025" "protein_coding" "RANGAP1"
"2658185" "protein_coding" "ZC3H7B"
"2658245" "protein_coding" "TEF"
"2658279" "lncRNA" "AL008582.1"
"2658282" "protein_coding" "TOB2"
"2658299" "protein_coding" "PHF5A"
"2658323" "protein_coding" "ACO2"
"2658428" "protein_coding" "POLR3H"
"2658557" "lncRNA" "AL023553.1"
"2658561" "protein_coding" "CSDC2"
"2658584" "protein_coding" "PMM1"
"2658664" "protein_coding" "DESI1"
"2658692" "protein_coding" "XRCC6"
"2658879" "protein_coding" "SNU13"
"2659009" "protein_coding" "MEI1"
"2659234" "protein_coding" "CCDC134"
"2659267" "lncRNA" "SREBF2-AS1"
"2659271" "protein_coding" "SREBF2"
"2659448" "protein_coding" "SHISA8"
"2659466" "protein_coding" "TNFRSF13C"
"2659478" "protein_coding" "CENPM"
"2659571" "protein_coding" "LINC00634"
"2659588" "protein_coding" "SEPTIN3"
"2659737" "lncRNA" "Z99716.1"
"2659742" "protein_coding" "WBP2NL"
"2659880" "protein_coding" "NAGA"
"2659954" "lncRNA" "Z99716.2"
"2659957" "protein_coding" "PHETA2"
"2659978" "protein_coding" "SMDT1"
"2660004" "protein_coding" "NDUFA6"
"2660036" "lncRNA" "AL021878.2"
"2660039" "lncRNA" "NDUFA6-DT"
"2660135" "protein_coding" "CYP2D6"
"2660231" "lncRNA" "AC254562.2"
"2660236" "lncRNA" "AC254562.3"
"2660240" "protein_coding" "TCF20"
"2660290" "lncRNA" "OGFRP1"
"2660309" "lncRNA" "LINC01315"
"2660325" "protein_coding" "NFAM1"
"2660354" "lncRNA" "AL022316.1"
"2660360" "protein_coding" "RRP7A"
"2660402" "protein_coding" "SERHL2"
"2660597" "protein_coding" "POLDIP3"
"2660740" "lncRNA" "Z93241.1"
"2660743" "protein_coding" "CYB5R3"
"2660884" "protein_coding" "ATP5MGL"
"2660892" "protein_coding" "A4GALT"
"2660943" "protein_coding" "ARFGAP3"
"2661062" "protein_coding" "PACSIN2"
"2661277" "lncRNA" "AL022476.1"
"2661282" "protein_coding" "TTLL1"
"2661388" "protein_coding" "BIK"
"2661404" "protein_coding" "MCAT"
"2661439" "protein_coding" "TSPO"
"2661502" "protein_coding" "TTLL12"
"2661557" "protein_coding" "SCUBE1"
"2661677" "lncRNA" "Z82214.2"
"2661681" "lncRNA" "Z82214.1"
"2661686" "lncRNA" "Z99756.1"
"2661690" "lncRNA" "LINC01639"
"2661696" "protein_coding" "MPPED1"
"2661759" "lncRNA" "BX546033.1"
"2661763" "lncRNA" "EFCAB6-AS1"
"2661772" "protein_coding" "EFCAB6"
"2661981" "lncRNA" "Z97055.2"
"2661987" "protein_coding" "SULT4A1"
"2662049" "protein_coding" "PNPLA5"
"2662147" "protein_coding" "PNPLA3"
"2662229" "protein_coding" "SAMM50"
"2662293" "protein_coding" "PARVB"
"2662457" "lncRNA" "AL033543.1"
"2662460" "lncRNA" "AL031595.3"
"2662463" "protein_coding" "PARVG"
"2662650" "lncRNA" "AL031595.2"
"2662653" "protein_coding" "SHISAL1"
"2662670" "lncRNA" "Z85994.1"
"2662674" "lncRNA" "LINC01656"
"2662679" "protein_coding" "RTL6"
"2662689" "lncRNA" "LINC00207"
"2662717" "lncRNA" "LINC00229"
"2662723" "protein_coding" "PRR5"
"2663000" "protein_coding" "ARHGAP8"
"2663194" "protein_coding" "PHF21B"
"2663377" "lncRNA" "AL079301.1"
"2663382" "lncRNA" "NUP50-DT"
"2663397" "lncRNA" "Z82243.1"
"2663400" "protein_coding" "NUP50"
"2663598" "lncRNA" "AL008718.3"
"2663601" "protein_coding" "KIAA0930"
"2663805" "lncRNA" "AL008718.2"
"2663808" "protein_coding" "UPK3A"
"2663839" "protein_coding" "FAM118A"
"2663978" "protein_coding" "SMC1B"
"2664085" "protein_coding" "RIBC2"
"2664114" "lncRNA" "AL021391.1"
"2664118" "protein_coding" "FBLN1"
"2664416" "lncRNA" "LINC01589"
"2664420" "lncRNA" "Z95331.1"
"2664423" "protein_coding" "ATXN10"
"2664562" "lncRNA" "BX324167.2"
"2664565" "lncRNA" "BX324167.1"
"2664575" "protein_coding" "WNT7B"
"2664637" "lncRNA" "BX537318.1"
"2664641" "lncRNA" "LINC00899"
"2664653" "lncRNA" "PRR34"
"2664657" "lncRNA" "AL121672.3"
"2664660" "lncRNA" "PRR34-AS1"
"2664674" "lncRNA" "MIRLET7BHG"
"2664698" "lncRNA" "AL121672.1"
"2664702" "lncRNA" "AL121672.2"
"2664707" "protein_coding" "PPARA"
"2664826" "lncRNA" "FP325332.1"
"2664829" "protein_coding" "CDPF1"
"2664887" "protein_coding" "PKDREJ"
"2664895" "protein_coding" "TTC38"
"2665006" "lncRNA" "GTSE1-DT"
"2665011" "protein_coding" "GTSE1"
"2665053" "protein_coding" "TRMU"
"2665404" "protein_coding" "CELSR1"
"2665499" "lncRNA" "AL021392.1"
"2665503" "protein_coding" "GRAMD4"
"2665639" "protein_coding" "CERK"
"2665708" "lncRNA" "AL118516.1"
"2665711" "protein_coding" "TBC1D22A"
"2665954" "lncRNA" "TBC1D22A-AS1"
"2665959" "lncRNA" "Z82186.1"
"2665965" "lncRNA" "LINC01644"
"2665973" "lncRNA" "LINC00898"
"2665997" "lncRNA" "AL117329.1"
"2666536" "lncRNA" "FP325330.3"
"2666539" "lncRNA" "FP325330.1"
"2666543" "lncRNA" "FP325330.2"
"2666546" "lncRNA" "BX284656.2"
"2666550" "lncRNA" "BX284656.1"
"2666556" "lncRNA" "AL008720.1"
"2666561" "lncRNA" "Z72006.1"
"2666568" "lncRNA" "Z82249.1"
"2666572" "lncRNA" "Z84468.2"
"2666594" "protein_coding" "TAFA5"
"2666647" "lncRNA" "Z84468.1"
"2666661" "lncRNA" "LINC01310"
"2666674" "lncRNA" "AL078622.1"
"2666690" "lncRNA" "Z82202.2"
"2666695" "lncRNA" "Z82202.1"
"2666698" "lncRNA" "AC207130.1"
"2666702" "lncRNA" "C22orf34"
"2666740" "lncRNA" "AL008636.1"
"2666743" "lncRNA" "AL031593.1"
"2666746" "lncRNA" "Z97192.1"
"2666750" "lncRNA" "Z97192.2"
"2666754" "lncRNA" "Z97192.3"
"2666758" "lncRNA" "Z97192.4"
"2666762" "lncRNA" "AL023802.1"
"2666766" "protein_coding" "BRD1"
"2666923" "lncRNA" "Z98885.3"
"2666926" "lncRNA" "Z98885.2"
"2666940" "lncRNA" "AL117328.2"
"2666943" "protein_coding" "ZBED4"
"2666953" "protein_coding" "ALG12"
"2667005" "lncRNA" "AL671710.1"
"2667008" "protein_coding" "CRELD2"
"2667160" "lncRNA" "BX539320.1"
"2667163" "protein_coding" "PIM3"
"2667185" "protein_coding" "IL17REL"
"2667252" "protein_coding" "TTLL8"
"2667319" "protein_coding" "MLC1"
"2667407" "protein_coding" "MOV10L1"
"2667724" "lncRNA" "AL034546.1"
"2667727" "protein_coding" "PANX2"
"2667763" "protein_coding" "TRABD"
"2667877" "lncRNA" "AL022328.3"
"2667880" "lncRNA" "AL022328.4"
"2667884" "protein_coding" "SELENOO"
"2667943" "lncRNA" "AL022328.1"
"2667946" "lncRNA" "AL022328.2"
"2667950" "protein_coding" "TUBGCP6"
"2668151" "protein_coding" "HDAC10"
"2668549" "protein_coding" "MAPK12"
"2668719" "protein_coding" "MAPK11"
"2668814" "protein_coding" "PLXNB2"
"2669169" "protein_coding" "DENND6B"
"2669275" "lncRNA" "CR559946.1"
"2669279" "lncRNA" "CR559946.2"
"2669282" "protein_coding" "PPP6R2"
"2669618" "protein_coding" "SBF1"
"2669840" "protein_coding" "ADM2"
"2669861" "protein_coding" "MIOX"
"2669954" "protein_coding" "LMF2"
"2670044" "protein_coding" "NCAPH2"
"2670291" "protein_coding" "SCO2"
"2670335" "lncRNA" "U62317.2"
"2670338" "protein_coding" "TYMP"
"2670578" "protein_coding" "ODF3B"
"2670684" "lncRNA" "U62317.4"
"2670688" "lncRNA" "U62317.1"
"2670691" "protein_coding" "KLHDC7B"
"2670709" "protein_coding" "SYCE3"
"2670729" "protein_coding" "CPT1B"
"2670991" "protein_coding" "CHKB"
"2671102" "lncRNA" "CHKB-DT"
"2671137" "lncRNA" "U62317.3"
"2671140" "protein_coding" "MAPK8IP2"
"2671181" "protein_coding" "ARSA"
"2671309" "lncRNA" "AC000050.1"
"2671313" "protein_coding" "SHANK3"
"2671470" "lncRNA" "AC000036.1"
"2671474" "protein_coding" "ACR"
"2671510" "lncRNA" "AC002056.2"
"2671514" "protein_coding" "RABL2B"
"2671753" "protein_coding" "PLCXD1"
"2671900" "protein_coding" "GTPBP6"
"2671931" "lncRNA" "LINC00685"
"2671935" "protein_coding" "PPP2R3B"
"2672024" "lncRNA" "AL732314.6"
"2672028" "lncRNA" "AL732314.4"
"2672032" "protein_coding" "SHOX"
"2672082" "lncRNA" "AL672277.1"
"2672086" "protein_coding" "CRLF2"
